Ticker,Expiration,TimeToMaturity,Strike,OptionType,LastPrice,Bid,Ask,ImpliedVolatility,BisectionIV,BisectionTime,EFDprice,IFDprice,CNFDprice,EFDdelta,EFDgamma,EFDtheta,EFDvega,InTheMoney
NVDA,2025-03-21,0.016438,5,Call,115,115.6,116.1,9.1875,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,10,Call,98.92,110.6,111.1,7.03125,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,15,Call,91.75,105.75,106.2,6.57031,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,20,Call,100.8,100.75,101.2,5.64844,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,25,Call,95.37,95.7,96.15,4.76563,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,30,Call,78.15,90.75,91.2,4.39063,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,32,Call,79.32,88.75,89.2,4.19141,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,33,Call,78.83,87.7,88.15,3.94531,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,34,Call,78.77,86.6,87.1,3.57031,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,35,Call,73.18,85.75,86.2,3.92188,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,36,Call,81.73,84.6,85.1,3.41406,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,37,Call,73.51,83.7,84.2,3.6875,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,38,Call,77.3,82.65,83.15,3.46094,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,39,Call,68.2,81.7,82.2,3.53125,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,40,Call,80.29,80.65,81.1,3.22656,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,41,Call,84.82,79.7,80.2,3.38281,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,42,Call,80.28,78.65,79.15,3.17578,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,43,Call,77.95,77.7,78.2,3.24219,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,44,Call,89.35,76.7,77.2,3.17578,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,45,Call,70.33,75.7,76.2,3.10938,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,46,Call,85.95,74.65,75.1,2.84375,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,47,Call,67.87,73.65,74.15,2.85938,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,48,Call,73.2,72.65,73.15,2.79688,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,49,Call,72.3,71.75,72.25,2.96094,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,50,Call,70.47,70.75,71.2,2.85157,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,52,Call,66.55,68.75,69.25,2.78125,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,54,Call,52.32,66.8,67.3,2.7461,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,55,Call,60,65.7,66.1,2.41407,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,56,Call,59.25,64.85,65.2,2.59571,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,58,Call,58.36,62.6,63.1,2.13282,0,0,0,0,0,0,0,0,0,True
NVDA,2025-03-21,0.016438,60,Call,60.96,60.65,61,1.96094,0,0,0,0,0,0,0,0,0,True
